"sum_stat" "condition" "response" "model" "len"
"135" "fast_mean" 23 "lower" "t" 27
"136" "fast_mean" 23 "upper" "independent" 32
"137" "fast_mean" 23 "upper" "normal" 32
"138" "fast_mean" 23 "upper" "t" 32
"139" "fast_mean" 24 "lower" "independent" 24
"140" "fast_mean" 24 "lower" "normal" 24
"141" "fast_mean" 24 "lower" "t" 24
"142" "fast_mean" 24 "upper" "independent" 29
"143" "fast_mean" 24 "upper" "normal" 29
"144" "fast_mean" 24 "upper" "t" 29
"145" "fast_mean" 25 "lower" "independent" 458
"146" "fast_mean" 25 "lower" "normal" 410
"147" "fast_mean" 25 "lower" "t" 410
"148" "fast_mean" 25 "upper" "independent" 498
"149" "fast_mean" 25 "upper" "normal" 459
"150" "fast_mean" 25 "upper" "t" 463
"151" "fast_mean" 26 "lower" "independent" 472
"152" "fast_mean" 26 "lower" "normal" 419
"153" "fast_mean" 26 "lower" "t" 416
"154" "fast_mean" 26 "upper" "independent" 478
"155" "fast_mean" 26 "upper" "normal" 441
"156" "fast_mean" 26 "upper" "t" 443
"157" "fast_mean" 27 "lower" "independent" 483
"158" "fast_mean" 27 "lower" "normal" 423
"159" "fast_mean" 27 "lower" "t" 426
"160" "fast_mean" 27 "upper" "independent" 443
"161" "fast_mean" 27 "upper" "normal" 419
"162" "fast_mean" 27 "upper" "t" 421
"163" "fast_mean" 28 "lower" "independent" 488
"164" "fast_mean" 28 "lower" "normal" 416
"165" "fast_mean" 28 "lower" "t" 426
"166" "fast_mean" 28 "upper" "independent" 418
"167" "fast_mean" 28 "upper" "normal" 392
"168" "fast_mean" 28 "upper" "t" 395
"169" "fast_mean" 29 "lower" "independent" 494
"170" "fast_mean" 29 "lower" "normal" 415
"171" "fast_mean" 29 "lower" "t" 412
"172" "fast_mean" 29 "upper" "independent" 381
"173" "fast_mean" 29 "upper" "normal" 362
"174" "fast_mean" 29 "upper" "t" 363
"175" "fast_mean" 30 "lower" "independent" 492
"176" "fast_mean" 30 "lower" "normal" 400
"177" "fast_mean" 30 "lower" "t" 394
"178" "fast_mean" 30 "upper" "independent" 346
"179" "fast_mean" 30 "upper" "normal" 331
"180" "fast_mean" 30 "upper" "t" 331
"181" "fast_mean" 31 "lower" "independent" 33
"182" "fast_mean" 31 "lower" "normal" 32
"183" "fast_mean" 31 "lower" "t" 32
